Timestamp,Cell 1 Voltage,Cell 2 Voltage,Cell 3 Voltage,Cell 1 Current,Cell 2 Current,Cell 3 Current,Cell 1 Temp,Cell 2 Temp,Cell 3 Temp,Vbatt
2024-07-19 14:16:18,3.73141880438207,3.81800137592186,3.867617984953877,0.303,0.303,0.303,-153.04884961848916,-153.04884961848916,-153.04884961848916,11.417038165257807
2024-07-19 14:16:19,3.72911869904392,3.817672789183055,3.867617984953877,0.303,0.303,0.303,-153.04884961848916,-153.04884961848916,-152.2715469687321,11.414409473180852
2024-07-19 14:16:20,3.7347046692333943,3.8191514295155167,3.8689323325243836,0.303,0.303,0.303,-153.04884961848916,-153.04884961848916,-152.2715469687321,11.422788431273295
2024-07-19 14:16:21,3.7338832030114557,3.81980860300308,3.869589506315692,0.303,0.303,0.303,-152.2715469687321,-153.04884961848916,-153.04884961848916,11.423281312330229
2024-07-19 14:16:22,3.733390323281207,3.8199728963755932,3.869425212867487,0.303,0.303,0.303,-153.04884961848916,-153.04884961848916,-152.2715469687321,11.422788432524287
2024-07-19 14:16:23,3.7320759773445644,3.818329962661661,3.8689323325243836,0.303,0.303,0.303,-152.2715469687321,-152.2715469687321,-153.04884961848916,11.41933827253061
2024-07-19 14:16:24,3.7304330449456105,3.8193157228870342,3.8697537997641502,0.303,0.303,0.303,-152.2715469687321,-152.2715469687321,-153.84975897955087,11.419502567596794
2024-07-19 14:16:26,3.7319116841035767,3.820301483121367,3.869589506315692,0.303,0.303,0.303,-151.5164977467728,-153.84975897955087,-153.04884961848916,11.421802673540636
2024-07-19 14:16:27,3.732240270585795,3.8204657764946264,3.869425212867487,0.303,0.303,0.303,-152.2715469687321,-153.04884961848916,-152.2715469687321,11.422131259947909
2024-07-19 14:16:28,3.7315830976223294,3.8201371897483556,3.8697537997641502,0.303,0.303,0.303,-152.2715469687321,-153.04884961848916,-153.04884961848916,11.421474087134836
2024-07-19 14:16:29,3.7305973381844137,3.8196443096308164,3.869425212867487,0.303,0.303,0.303,-153.04884961848916,-153.84975897955087,-153.04884961848916,11.419666860682717
2024-07-19 14:16:30,3.7330617367955896,3.821287243364661,3.8709038539104244,0.303,0.303,0.303,-153.84975897955087,-153.04884961848916,-153.04884961848916,11.425252834070676
2024-07-19 14:16:31,3.7297758719928242,3.8193157228870342,3.869260919419533,0.303,0.303,0.303,-153.04884961848916,-153.04884961848916,-153.84975897955087,11.418352514299391
2024-07-19 14:16:32,3.7312545111420534,3.8211229499901562,3.870575267010227,0.303,0.303,0.303,-153.04884961848916,-153.04884961848916,-153.04884961848916,11.422952728142437
2024-07-19 14:16:33,3.72911869904392,3.820301483121367,3.8707395604601995,0.303,0.303,0.303,-152.2715469687321,-153.04884961848916,-153.84975897955087,11.420159742625486
2024-07-19 14:16:34,3.7305973381844137,3.8216158301144176,3.8718896146170767,0.303,0.303,0.303,-152.2715469687321,-152.2715469687321,-151.5164977467728,11.424102782915908
