Timestamp,Cell 1 Voltage,Cell 2 Voltage,Cell 3 Voltage,Cell 1 Current,Cell 2 Current,Cell 3 Current,Cell 1 Temp,Cell 2 Temp,Cell 3 Temp,V_bank
2024-07-18 21:55:38,4.032568733101139,3.878789939818336,3.8321306066330765,0.055,0.055,0.055,-157.32135182960505,-157.32135182960505,-157.32135182960505,11.743489279552552
2024-07-18 21:55:39,4.0330616142153,3.878789939818336,3.832952073591642,0.305,0.305,0.305,-157.32135182960505,-158.26568972269644,-157.32135182960505,11.744803627625277
2024-07-18 21:55:40,4.033554495331835,3.8794471136702913,3.832952073591642,0.305,0.305,0.305,-158.26568972269644,-157.32135182960505,-157.32135182960505,11.745953682593768
2024-07-18 21:55:41,4.034211670157575,3.8796114071339125,3.833444953769778,0.305,0.305,0.305,-158.26568972269644,-159.24511475602185,-158.26568972269644,11.747268031061266
2024-07-18 21:55:42,4.034211670157575,3.8801042875262954,3.83360924716299,0.305,0.305,0.305,-157.32135182960505,-159.24511475602185,-157.32135182960505,11.74792520484686
2024-07-18 21:55:43,4.034375963864669,3.880268580990929,3.8339378339501637,0.305,0.305,0.305,-158.26568972269644,-159.24511475602185,-157.32135182960505,11.74858237880576
2024-07-18 21:55:44,4.034211670157575,3.880268580990929,3.8339378339501637,0.305,0.305,0.305,-156.40967176436934,-158.26568972269644,-156.40967176436934,11.748418085098667
2024-07-18 21:55:45,4.0345402575720275,3.880432874455816,3.834102127344125,0.305,0.305,0.305,-157.32135182960505,-157.32135182960505,-157.32135182960505,11.749075259371969
2024-07-18 21:55:47,4.0361831946601265,3.8807614613863493,3.834266420738337,0.305,0.305,0.305,-157.32135182960505,-157.32135182960505,-157.32135182960505,11.751211076784813
2024-07-18 21:55:48,4.037990425487527,3.8807614613863493,3.8344307141327985,0.305,0.305,0.305,-158.26568972269644,-157.32135182960505,-157.32135182960505,11.753182601006674
2024-07-18 21:55:49,4.039140481485238,3.880925754851996,3.834759300922471,0.305,0.305,0.305,-157.32135182960505,-158.26568972269644,-157.32135182960505,11.754825537259705
2024-07-18 21:55:50,4.039797656346885,3.880925754851996,3.8345950075275095,0.305,0.305,0.305,-157.32135182960505,-159.24511475602185,-158.26568972269644,11.755318418726391
2024-07-18 21:55:51,4.0419334746764415,3.8812543417840484,3.8349235943176816,0.305,0.305,0.305,-157.32135182960505,-158.26568972269644,-158.26568972269644,11.758111410778172
2024-07-18 21:55:52,4.042754943276629,3.8815829287171133,3.834759300922471,0.305,0.305,0.305,-157.32135182960505,-157.32135182960505,-157.32135182960505,11.759097172916213
2024-07-18 21:55:53,4.042590649556062,3.8815829287171133,3.8352521811088542,0.305,0.305,0.305,-157.32135182960505,-157.32135182960505,-157.32135182960505,11.75942575938203
2024-07-18 21:55:54,4.042262062115723,3.881418635250454,3.8352521811088542,0.305,0.305,0.305,-157.32135182960505,-158.26568972269644,-157.32135182960505,11.758932878475031
2024-07-18 21:55:55,4.0419334746764415,3.8815829287171133,3.8352521811088542,0.305,0.305,0.305,-157.32135182960505,-159.24511475602185,-158.26568972269644,11.758768584502409
2024-07-18 21:55:57,4.0416048872382175,3.8820758091186103,3.835580767901026,0.305,0.305,0.305,-157.32135182960505,-158.26568972269644,-157.32135182960505,11.759261464257854
2024-07-18 21:55:58,4.042590649556062,3.8820758091186103,3.8357450612974873,0.305,0.305,0.305,-157.32135182960505,-159.24511475602185,-158.26568972269644,11.760411519972159
2024-07-18 21:55:59,4.04209776839595,3.882240102586282,3.835580767901026,0.305,0.305,0.305,-157.32135182960505,-158.26568972269644,-157.32135182960505,11.759918638883258
2024-07-18 21:56:00,4.042754943276629,3.8820758091186103,3.8360736480911597,0.305,0.305,0.305,-157.32135182960505,-159.24511475602185,-158.26568972269644,11.7609044004864
2024-07-18 21:56:01,4.043412118161539,3.8824043960542074,3.836237941488371,0.305,0.305,0.305,-158.26568972269644,-158.26568972269644,-157.32135182960505,11.762054455704117
2024-07-18 21:56:02,4.042262062115723,3.882568689522386,3.8360736480911597,0.305,0.305,0.305,-156.40967176436934,-159.24511475602185,-157.32135182960505,11.760904399729268
2024-07-18 21:56:03,4.041440593519502,3.8828972764595027,3.836237941488371,0.305,0.305,0.305,-158.26568972269644,-158.26568972269644,-157.32135182960505,11.760575811467374
2024-07-18 21:56:04,4.040947712364942,3.8828972764595027,3.836237941488371,0.305,0.305,0.305,-157.32135182960505,-158.26568972269644,-158.26568972269644,11.760082930312816
2024-07-18 21:56:05,4.041112006082864,3.8832258633976324,3.8364022348858318,0.305,0.305,0.305,-157.32135182960505,-157.32135182960505,-158.26568972269644,11.760740104366327
2024-07-18 21:56:07,4.041276299801051,3.8830615699284405,3.836566528283543,0.305,0.305,0.305,-157.32135182960505,-157.32135182960505,-158.26568972269644,11.760904398013034
2024-07-18 21:56:08,4.0419334746764415,3.8828972764595027,3.8364022348858318,0.305,0.305,0.305,-159.24511475602185,-159.24511475602185,-158.26568972269644,11.761232986021776
