Timestamp,Cell 1 Voltage,Cell 2 Voltage,Cell 1 Current,Cell 2 Current,Cell 1 Temp,Cell 2 Temp,V_bank
2023-11-09 19:47:36,3.665644737170686,2.71963370086668,0.0,0.0,19.20131377538781,20.79058602654993,6.385278438037366
2023-11-09 19:47:37,3.6695878330783516,3.1924741229266886,1.303,1.303,18.989913359160845,20.87098896595532,6.86206195600504
2023-11-09 19:47:39,3.671230789744686,3.3273604325171124,1.302,1.302,18.975811779529334,20.461713999978443,6.9985912222617985
2023-11-09 19:47:40,3.6723808594244796,3.3804277996056817,1.302,1.302,19.194270778938606,20.675180735787237,7.052808659030161
2023-11-09 19:47:41,3.6735309291152776,3.3988288730584264,1.302,1.302,19.10621200929855,20.7486265883359,7.072359802173704
2023-11-09 19:47:42,3.674516703144724,3.4183800164438702,1.302,1.302,19.109735121374914,20.45121078835083,7.092896719588595
2023-11-09 19:47:43,3.67550247718226,3.4208444464910555,1.302,1.302,18.93350079553194,20.85001671805801,7.096346923673316
2023-11-09 19:47:44,3.676652546902948,3.4223231045418476,1.302,1.302,19.01106378436851,20.360163554578865,7.098975651444796
2023-11-09 19:47:46,3.677309729605431,3.4305378717981148,1.302,1.302,19.148485157600405,20.82554693065841,7.107847601403545
2023-11-09 19:47:47,3.6781312079885953,3.432016529959643,1.302,1.302,19.30340911543102,20.75562031147158,7.110147737948238
2023-11-09 19:47:48,3.678952686377384,3.427580555525791,1.303,1.303,19.035736340294005,20.9653430737885,7.1065332419031755
2023-11-09 19:47:49,3.6799384604513556,3.4310307578500776,1.303,1.303,19.070977377924965,20.82554693065841,7.110969218301433
2023-11-09 19:47:50,3.6804313474913806,3.431687939255619,1.303,1.303,18.947605499855573,20.580718455358532,7.112119286746999
2023-11-09 19:47:52,3.6812528258959243,3.4338237788467136,1.303,1.303,19.22596228551372,20.402189692549868,7.115076604742638
2023-11-09 19:47:53,3.6819100086236123,3.43020928109785,1.303,1.303,19.088595492310546,20.626204807589275,7.112119289721463
2023-11-09 19:47:54,3.6827314870382897,3.4420385468341945,1.303,1.303,19.282290237317522,20.989799688797614,7.124770033872484
2023-11-09 19:47:55,3.683717261143337,3.4371096859789234,1.303,1.303,19.042785061921354,20.528223692943154,7.120826947122261
2023-11-09 19:47:56,3.6838815568283,3.444338681964515,1.303,1.303,19.070977377924965,20.82554693065841,7.1282202387928155
2023-11-09 19:47:57,3.6845387395704052,3.4361239138304764,1.303,1.303,19.01106378436851,20.612209903137764,7.120662653400881
2023-11-09 19:47:59,3.685360218003109,3.451074792225584,1.303,1.303,18.96170916047431,20.619207454710605,7.136435010228693
2023-11-09 19:48:00,3.6856888093777687,3.445160158806732,1.303,1.303,19.194270778938606,20.85700765729214,7.130848968184501
2023-11-09 19:48:01,3.686181696441449,3.437602572055972,1.303,1.303,19.141440267735593,20.706660167257333,7.12378426849742
2023-11-09 19:48:02,3.6868388791961797,3.4459816356541935,1.303,1.303,18.989913359160845,20.384679708993787,7.132820514850373
2023-11-09 19:48:03,3.687331766264596,3.448281770854995,1.303,1.303,19.046309326224307,20.85700765729214,7.135613537119591
2023-11-09 19:48:04,3.687824653335042,3.444502977332539,1.303,1.303,19.042785061921354,20.68217650831861,7.1323276306675805
2023-11-09 19:48:06,3.6881532447164678,3.447460293992843,1.303,1.303,18.86648913105584,20.60521215261491,7.135613538709311
2023-11-09 19:48:07,3.68897472317398,3.4468031125069003,1.303,1.303,18.951131512773923,20.787089672061303,7.13577783568088
2023-11-09 19:48:08,3.6893033145585648,3.4459816356541935,1.303,1.303,19.08154843847728,20.829042757691937,7.135284950212759
2023-11-09 19:48:09,3.6899604973304427,3.444667272700773,1.303,1.303,19.088595492310546,20.626204807589275,7.134627770031216
2023-11-09 19:48:10,3.6902890887177358,3.4436815004945167,1.303,1.303,19.13791772772512,20.891959508252796,7.133970589212252
2023-11-09 19:48:12,3.690781975800369,3.4517319737333705,1.303,1.303,18.93350079553194,20.90244414194724,7.14251394953374
2023-11-09 19:48:13,3.690946271495031,3.4532106321381875,1.303,1.303,19.085071997358536,20.843025588549587,7.144156903633219
2023-11-09 19:48:14,3.69160345427594,3.4494318384708267,1.303,1.303,19.07450112879383,20.692669798958047,7.141035292746767
2023-11-09 19:48:15,3.6917677499717314,3.4463102263946466,1.303,1.303,19.24004577053389,20.87098896595532,7.138077976366378
2023-11-09 19:48:16,3.6924249327571577,3.453374927517552,1.303,1.303,19.088595492310546,20.68217650831861,7.1457998602747095
2023-11-09 19:48:17,3.6927535241512257,3.448446066228055,1.303,1.303,19.088595492310546,20.787089672061303,7.141199590379281
2023-11-09 19:48:19,3.693082115546198,3.449596133845357,1.303,1.303,19.1343951242849,20.82554693065841,7.142678249391555
2023-11-09 19:48:20,3.693739298338853,3.4518962691108426,1.303,1.303,18.922921581069374,20.563221457193805,7.145635567449696
2023-11-09 19:48:21,3.693903594037582,3.450089019970209,1.303,1.303,19.014588628837302,20.538723551072632,7.143992614007791
2023-11-09 19:48:22,3.694396481135124,3.4494318384708267,1.303,1.303,19.10621200929855,20.500221846653083,7.143828319605951
2023-11-09 19:48:23,3.6945607768347575,3.4497604292200976,1.303,1.303,19.03221188290285,20.797578591230003,7.144321206054855
2023-11-09 19:48:25,3.6948893682347013,3.4515676783561084,1.303,1.303,19.317487129669786,20.944378447044937,7.146457046590809
2023-11-09 19:48:26,3.6952179596355497,3.456332244382081,1.303,1.303,19.102688833492852,20.741632671231876,7.151550204017631
