Timestamp,Cell 1 Voltage,Cell 2 Voltage,Cell 1 Current,Cell 2 Current,Cell 1 Temp,Cell 2 Temp,V_bank,Cell 1 C_rate,Cell 2 C_rate,Interval Number,capacidad
2023-11-14 11:32:38,3.71876822561016,3.746698076766161,-2.59955,-2.59955,17.302453507170288,18.74149370885068,7.465466302376321,1.0,1.0,1.0,0
2023-11-14 11:32:39,3.7140037222888544,3.741933572248532,-2.599598,-2.599598,17.334489834305575,18.836775504228715,7.455937294537387,1.0,1.0,1.0,1
2023-11-14 11:32:40,3.7140037222888544,3.741933572248532,-2.599598,-2.599598,17.334489834305575,18.836775504228715,7.455937294537387,1.0,1.0,1.0,2
2023-11-14 11:32:41,3.7105535648381727,3.7381548274318814,-2.599542,-2.599542,17.334489834305575,18.483632830185595,7.4487083922700545,1.0,1.0,1.0,4
2023-11-14 11:32:42,3.707760580313179,3.73503325572387,-2.59959,-2.59959,17.352284961628566,18.72737373747828,7.442793836037049,1.0,1.0,1.0,5
2023-11-14 11:32:43,3.704967595857859,3.732240270585795,-2.599582,-2.599582,17.362961069384333,18.73796381687794,7.437207866443654,1.0,1.0,1.0,7
2023-11-14 11:32:44,3.702010318275165,3.72911869904392,-2.599566,-2.599566,17.451900517817876,18.688538255362044,7.431129017319084,1.0,1.0,1.0,8
2023-11-14 11:32:45,3.700203093124134,3.7274757666886384,-2.599574,-2.599574,17.249045001532586,18.51544369250365,7.427678859812772,1.0,1.0,1.0,10
2023-11-14 11:32:46,3.698067281619533,3.725175661431975,-2.599606,-2.599606,17.409215833807718,18.74855329125742,7.423242943051507,1.0,1.0,1.0,11
2023-11-14 11:32:47,3.698067281619533,3.725175661431975,-2.599606,-2.599606,17.409215833807718,18.74855329125742,7.423242943051507,1.0,1.0,1.0,12
2023-11-14 11:32:48,3.696424349720565,3.723697022363485,-2.599582,-2.599582,17.30601342336611,18.663820504706617,7.42012137208405,1.0,1.0,1.0,14
2023-11-14 11:32:49,3.694288538287829,3.721725503636015,-2.599582,-2.599582,17.309573258406513,18.60731027069793,7.416014041923844,1.0,1.0,1.0,15
2023-11-14 11:32:50,3.69231702007825,3.719753984943402,-2.599598,-2.599598,17.473238551682307,18.81560597103292,7.412071005021652,1.0,1.0,1.0,17
2023-11-14 11:32:51,3.690509795083164,3.7181110527261687,-2.599582,-2.599582,17.249045001532586,18.667351815470628,7.408620847809333,1.0,1.0,1.0,18
2023-11-14 11:32:52,3.688538276939809,3.716303827315142,-2.599558,-2.599558,17.298893509783696,18.695599860062188,7.404842104254952,1.0,1.0,1.0,20
2023-11-14 11:32:53,3.68755251788108,3.714660895148677,-2.59959,-2.59959,17.37363645182592,18.65675767934732,7.402213413029756,1.0,1.0,1.0,21
2023-11-14 11:32:54,3.68755251788108,3.714660895148677,-2.59959,-2.59959,17.37363645182592,18.65675767934732,7.402213413029756,1.0,1.0,1.0,23
2023-11-14 11:32:55,3.685416706616763,3.7128536697934647,-2.599558,-2.599558,17.320252276948523,18.87205276049876,7.3982703764102276,1.0,1.0,1.0,24
2023-11-14 11:32:56,3.6841023612434585,3.7118679105211183,-2.599582,-2.599582,17.295333431170945,18.766201073202986,7.395970271764577,1.0,1.0,1.0,25
2023-11-14 11:32:57,3.682623722716808,3.709896392002491,-2.599614,-2.599614,17.455457055865264,18.797962865354865,7.392520114719298,1.0,1.0,1.0,27
2023-11-14 11:32:58,3.681473670542816,3.708746339549336,-2.599566,-2.599566,17.284652707622293,19.08710244724956,7.390220010092151,1.0,1.0,1.0,28
2023-11-14 11:32:59,3.6798307388860207,3.707431993903056,-2.599558,-2.599558,17.56922439667565,18.63556757018827,7.387262732789076,1.0,1.0,1.0,30
2023-11-14 11:33:00,3.6798307388860207,3.707431993903056,-2.599558,-2.599558,17.56922439667565,18.63556757018827,7.387262732789076,1.0,1.0,1.0,31
2023-11-14 11:33:01,3.678844979903423,3.706281941475216,-2.599526,-2.599526,17.327371217513914,18.571982481727268,7.385126921378639,1.0,1.0,1.0,33
2023-11-14 11:33:02,3.677366341445663,3.704310423054962,-2.599534,-2.599534,17.519461150364492,18.74855329125742,7.381676764500625,1.0,1.0,1.0,34
2023-11-14 11:33:03,3.676051996166125,3.703653250255919,-2.59959,-2.59959,17.377194751623453,18.68147637987664,7.379705246422044,1.0,1.0,1.0,36
2023-11-14 11:33:04,3.674737650901876,3.7021746114721568,-2.599542,-2.599542,17.33804902137455,18.65322616468453,7.376912262374033,1.0,1.0,1.0,37
2023-11-14 11:33:05,3.673751891963719,3.701353145489602,-2.599542,-2.599542,17.462569892970603,18.84383148467221,7.375105037453321,1.0,1.0,1.0,38
2023-11-14 11:33:06,3.673751891963719,3.701353145489602,-2.599542,-2.599542,17.462569892970603,18.84383148467221,7.375105037453321,1.0,1.0,1.0,40
2023-11-14 11:33:07,3.673094719343055,3.70036738631848,-2.599518,-2.599518,17.316692685162373,18.677945340505143,7.373462105661534,1.0,1.0,1.0,41
2023-11-14 11:33:08,3.671944667266082,3.698888747578031,-2.599542,-2.599542,17.480350593269215,18.94611357278714,7.370833414844112,1.0,1.0,1.0,43
2023-11-14 11:33:09,3.670630322049569,3.6982315748107513,-2.59955,-2.59955,17.50168481286075,18.66028912601009,7.36886189686032,1.0,1.0,1.0,44
2023-11-14 11:33:10,3.6696445631472026,3.697245815667044,-2.599534,-2.599534,17.25260613930439,18.61437500573279,7.366890378814247,1.0,1.0,1.0,46
